flag_id,account_id,date_raised,flag_type,severity,resolution_status,reviewed_by_qa
CMP00001,DC100546,2026-08-19,Data Breach Risk,medium,Escalated,Y
CMP00002,DC100628,2025-04-12,Affordability Not Assessed,High,Under Review,Y
CMP00003,DC100001,2025-04-15,Harassment Complaint,HIGH,Escalated,Y
CMP00004,DC100856,2025-05-17,Recording Consent Missing,Critical,Escalated,Y
CMP00005,DC100805,28/09/2025,Incorrect Balance Quoted,Medium,Escalated,Y
CMP00006,DC100805,12/19/2024,Data Breach Risk,Medium,Resolved,Y
CMP00007,DC101061,2024-10-01,Missed DSAR Deadline,High,Open,Y
CMP00008,DC101061,2025-11-01,Harassment Complaint,Medium,Open,Y
CMP00009,DC100615,2026-02-23,Incorrect Balance Quoted,Low,Closed - No Action,Y
CMP00010,DC100307,2025-11-26,Third Party Disclosure Risk,Medium,Escalated,
CMP00011,DC100697,30/05/2025,Third Party Disclosure Risk,HIGH,Escalated,Y
CMP00012,DC100697,01/06/2025,Recording Consent Missing,Medium,Escalated,Y
CMP00013,DC100697,20/02/2025,Recording Consent Missing,Medium,Resolved,Y
CMP00014,DC100444,2026-06-25,Recording Consent Missing,Low,Resolved,Y
CMP00015,DC100331,2026-05-26,Harassment Complaint,medium,Under Review,Y
CMP00016,DC101056,2026-03-27,Data Breach Risk,Medium,Escalated,Y
CMP00017,DC101056,06-07-2025,Data Breach Risk,High,Closed - No Action,Y
CMP00018,DC100387,2025-07-11,Harassment Complaint,Medium,Under Review,N
CMP00019,DC100813,2026-06-11,Incorrect Balance Quoted,High,Resolved,Y
CMP00020,DC101192,2025-11-27,Affordability Not Assessed,HIGH,Open,Y
CMP00021,DC100476,2026-01-30,Harassment Complaint,High,Resolved,Y
CMP00022,DC100012,06/01/2025,Affordability Not Assessed,medium,Resolved,Y
CMP00023,DC100012,2025-09-13,Recording Consent Missing,medium,Open,Y
CMP00024,DC101134,09/14/2025,Third Party Disclosure Risk,medium,Open,N
CMP00025,DC101134,2025-05-06,Data Breach Risk,medium,Escalated,Y
CMP00026,DC101134,2025-07-12,Data Breach Risk,HIGH,Resolved,
CMP00027,DC100062,2024-09-28,Recording Consent Missing,Low,Escalated,Y
CMP00028,DC100151,24-08-2026,Third Party Disclosure Risk,High,Under Review,Y
CMP00029,DC100201,2025-07-13,Missed DSAR Deadline,medium,Resolved,Y
CMP00030,DC100201,05/01/2026,Incorrect Balance Quoted,Critical,Escalated,Y
CMP00031,DC101108,23/05/2026,Missed DSAR Deadline,High,Resolved,N
CMP00032,DC101003,2025-05-02,Consumer Duty - Unfair Outcome Risk,Critical,Closed - No Action,Y
CMP00033,DC100359,2025-07-24,Incorrect Balance Quoted,Low,Open,Y
CMP00034,DC100233,10/08/2025,Third Party Disclosure Risk,Low,Escalated,Y
CMP00035,DC100389,2025-04-23,Harassment Complaint,HIGH,Closed - No Action,Y
CMP00036,DC101163,2026-06-09,Affordability Not Assessed,Medium,Escalated,Y
CMP00037,DC101114,09-01-2025,Data Breach Risk,HIGH,Escalated,Y
CMP00038,DC100388,23/07/2025,Vulnerable Customer Not Escalated,High,Escalated,Y
CMP00039,DC100388,2026-07-21,Affordability Not Assessed,Medium,Resolved,Y
CMP00040,DC100388,01/10/2024,Consumer Duty - Unfair Outcome Risk,Low,Resolved,Y
CMP00041,DC100035,2025-02-09,Missed DSAR Deadline,HIGH,Open,Y
CMP00042,DC100337,2026-04-23,Third Party Disclosure Risk,Low,Open,N
CMP00043,DC100074,04/11/2024,Third Party Disclosure Risk,medium,Closed - No Action,Y
CMP00044,DC100060,2025-09-20,Recording Consent Missing,Low,Under Review,N
CMP00045,DC100725,2024-10-09,Third Party Disclosure Risk,High,Resolved,N
CMP00046,DC100725,18-06-2025,Affordability Not Assessed,High,Open,Y
CMP00047,DC100877,11-02-2025,Missed DSAR Deadline,HIGH,Resolved,Y
CMP00048,DC100700,23/09/2024,Vulnerable Customer Not Escalated,Low,Escalated,Y
CMP00049,DC100700,2025-08-06,Consumer Duty - Unfair Outcome Risk,High,Under Review,
CMP00050,DC100917,2026-01-26,Recording Consent Missing,HIGH,Resolved,Y
CMP00051,DC100416,2025-12-24,Consumer Duty - Unfair Outcome Risk,Critical,Resolved,
CMP00052,DC101100,2024-11-24,Data Breach Risk,Medium,Escalated,Y
CMP00053,DC100879,2025-09-15,Vulnerable Customer Not Escalated,Low,Resolved,Y
CMP00054,DC100253,2024-11-27,Missed DSAR Deadline,HIGH,Closed - No Action,Y
CMP00055,DC100836,07/24/2025,Affordability Not Assessed,Low,Open,Y
CMP00056,DC100098,2025-05-29,Data Breach Risk,High,Escalated,Y
CMP00057,DC100157,2025-08-05,Recording Consent Missing,HIGH,Under Review,N
CMP00058,DC101117,2024-11-03,Affordability Not Assessed,Medium,Escalated,Y
CMP00059,DC100880,2024-12-22,Vulnerable Customer Not Escalated,High,Open,Y
CMP00060,DC100144,2025-03-24,Incorrect Balance Quoted,HIGH,Under Review,N
CMP00061,DC100222,2024-11-13,Data Breach Risk,HIGH,Closed - No Action,Y
CMP00062,DC100500,03/17/2025,Data Breach Risk,Critical,Escalated,Y
CMP00063,DC100500,2025-05-14,Data Breach Risk,HIGH,Resolved,Y
CMP00064,DC100884,2025-08-07,Missed DSAR Deadline,Low,Escalated,N
CMP00065,DC100555,03/31/2025,Affordability Not Assessed,High,Under Review,Y
CMP00066,DC100122,2026-02-17,Harassment Complaint,Medium,Escalated,Y
CMP00067,DC100847,24/08/2026,Vulnerable Customer Not Escalated,Low,Open,Y
CMP00068,DC100682,05-03-2026,Missed DSAR Deadline,Medium,Under Review,Y
CMP00069,DC100066,2025-06-12,Affordability Not Assessed,Medium,Escalated,Y
CMP00070,DC100066,2024-11-29,Recording Consent Missing,medium,Under Review,Y
CMP00071,DC100740,2026-05-02,Third Party Disclosure Risk,High,Closed - No Action,Y
CMP00072,DC100155,02/06/2026,Incorrect Balance Quoted,Critical,Escalated,N
CMP00073,DC101049,2026-09-06,Harassment Complaint,Low,Escalated,
CMP00074,DC101049,2025-08-25,Missed DSAR Deadline,Medium,Under Review,Y
CMP00075,DC101049,2024-10-29,Affordability Not Assessed,medium,Escalated,N
CMP00076,DC100636,2026-02-26,Missed DSAR Deadline,HIGH,Resolved,Y
CMP00077,DC100096,2024-12-18,Incorrect Balance Quoted,Critical,Closed - No Action,Y
CMP00078,DC100607,29/07/2026,Data Breach Risk,Low,Closed - No Action,Y
CMP00079,DC101012,2024-11-17,Vulnerable Customer Not Escalated,medium,Closed - No Action,Y
CMP00080,DC101012,2025-12-30,Third Party Disclosure Risk,Medium,Escalated,N
CMP00081,DC101000,2025-10-05,Incorrect Balance Quoted,Critical,Open,Y
CMP00082,DC101000,2025-11-11,Consumer Duty - Unfair Outcome Risk,High,Escalated,N
CMP00083,DC100495,2025-07-05,Consumer Duty - Unfair Outcome Risk,HIGH,Escalated,Y
CMP00084,DC100495,2026-08-21,Affordability Not Assessed,High,Closed - No Action,Y
